symbol,exchange,date,listing_type,market_cap_usd,top_exchange,top_exchange_tier,deposit_krw,volume_5m_krw,volume_1m_krw,turnover_ratio,max_premium_pct,premium_at_5m_pct,supply_label,hedge_type,dex_liquidity_usd,hot_wallet_usd,network_chain,network_speed_min,withdrawal_open,airdrop_claim_rate,prev_listing_result,market_condition,result_label,result_notes
WLFI,Upbit,2025-09-01,TGE,,,,70000000000,52500000000,27000000000,0.75,20,4,smooth,cex_futures,,,Ethereum,,true,,,neutral,흥따리,트럼프디파이코인 입금700억추정 김프20%피뢰침이후4% 가스비폭등
OP,Upbit,2025-07-28,직상장,1295000000,Binance,,72000000000,65000000000,34500000000,0.9,1.5,,smooth,cex_futures,,,,,,,,neutral,보통,바이낸스메인 헷징가능 현선갭0.3% 입금720억 레인지매매전략
ENA,Upbit,2025-07-11,직상장,2070000000,Binance,,50000000000,90000000000,41500000000,1.8,2,,smooth,cex_futures,,,,,,,,neutral,보통,바이낸스메인 현선갭0.5% 입금500억 전일HYPER상장2.5배효과
MOCA,Upbit,2024-12-16,직상장,,Bybit,,85000000000,200000000000,,2.35,5,,smooth,cex_futures,,,,,,,,bull,보통,유출픽6개월만성불 입금850억추정 피뢰침김프5% 빗썸빈집대흥따리
PENGU,Upbit,,직상장,870000000,Binance,,28000000000,43000000000,22000000000,1.54,0.5,,smooth,cex_futures,,,Solana,,true,,,bull,보통,TGE후145일 입금280억 생따리0.5% 5개월룰귀양
IP,Upbit,,직상장,1845000000,Binance,,41000000000,33500000000,15000000000,0.82,0,,smooth,cex_futures,,,,,,,,neutral,망따리,입금410억모두매도세 김프제로완전실패 투자자공포심리
CKB,Upbit,2024-09-13,직상장,397000000,Bitget,,3000000000,48000000000,,16.0,400,,constrained,none,,,CKB,,false,,,neutral,대흥따리,24년초대박 MINA이후최대수치 바이낸스출금막힘 비트겟만가능
AGLD,Upbit,2024-12-13,직상장,95000000,Binance,,60000000000,100000000000,,1.67,10,10,smooth,cex_futures,,,Ethereum,,true,,,bull,흥따리,불장시리즈 주8혼자450억 입금600억 공지현물긁기50% 따리10%
PEPE,Upbit,2024-12-14,직상장,10000000000,Binance,,60000000000,230000000000,,3.83,53,53,smooth,cex_futures,,,Ethereum,,true,,,bull,대흥따리,불장시리즈 자금출처원상 고래30분묶임 실입금600억 김프53%
BONK,Upbit,2024-12-20,직상장,4000000000,Binance,,130000000000,135000000000,,1.04,3,,smooth,cex_futures,,,Solana,,true,,,bull,보통,불장파워로김프3% 입금많으면정상노김프 사토시상장후원상
MINA,Upbit,2023-10-24,옆상장,,Binance,,,,,,200,,constrained,none,,,Mina,120,false,,,neutral,대흥따리,23년초대박 자체메인넷체인터짐 입금2시간이상소요 해외대비3배상승
RENDER,Upbit,2024-12-05,옆상장,4500000000,Binance,,150000000000,155000000000,,1.03,8,8,smooth,cex_futures,,,Solana,,true,,,bull,흥따리,불장시리즈 현선갭3% 공지빔19%고점33% 렌더토큰원화데뷔
RVN,Upbit,2025-06-05,옆상장,165000000,Binance,,,38000000000,15000000000,,,,,cex_futures,,,Ravencoin,,false,,,neutral,대흥따리,고대코인기존물량2000억 1시간만에상장 빗썸견제용 체인속도느림
RED,Upbit,2025-09-05,옆상장,135000000,Gate,,10500000000,31500000000,10000000000,3.0,20,,constrained,cex_futures,,,,,,,,neutral,대흥따리,빗썸견제 20분만의상장 빈핫월렛 입금105억 김프20%이상
VTHO,Upbit,2025-01-21,옆상장,193000000,Binance,,15000000000,52000000000,,,40,,constrained,cex_futures,,,VeChain,,false,,,bull,흥따리,빗썸TRUMP견제상장 에어드랍물량850억 바이낸스출금막힘
VIRTUAL,Upbit,2025-01-31,옆상장,1310000000,Bybit,,67000000000,82000000000,,1.22,3,2,smooth,cex_futures,,,,,,,,bull,망따리,피뢰침김프3%우하향 빗썸업빗정복상장당일 상장끝물
UXLINK,Upbit,,옆상장,25000000,,,25000000000,30000000000,10000000000,,50,,constrained,none,,,,,,,,neutral,보통,초저시총원상 따리노잼이었으나2시간후폭등 이후3개월13배상승
HYPER,Upbit,2025-07-10,옆상장,27000000,Binance,,24000000000,25500000000,10000000000,,11,,constrained,cex_futures,,,,,,,,neutral,보통,초저시총원상 견제상장 노잼상장이후폭등
POKT,Upbit,2025-05-30,옆상장,25000000,Bybit,,25000000000,40000000000,7500000000,,28,,constrained,none,,,,,,,,neutral,흥따리,초저시총 헷징불가 후펌핑3배 2시간거래량4000억
WCT,Upbit,,옆상장,60000000,Binance,,,,,,,,constrained,none,,,,,,,,neutral,보통,역대4번째낮은시총상장 준TGE상장 400원시작두달후2000원고점
PUMP,Upbit,2025-09-11,옆상장,2080000000,OKX,,15000000000,28300000000,6600000000,1.89,10,4,smooth,cex_futures,,,Solana,,true,,,neutral,흥따리,솔라나체인입금느림 가두리펌 역대최악거래량 바이낸스동시상장
SOPH,Upbit,2025-05-27,TGE,160000000,DEX,,3000000000,29000000000,12000000000,9.67,140,,constrained,none,,,BSC/ETH,,false,,,neutral,대흥따리,기습적빠른거래개시 DEX대비140%초대박따리 입금30억추정 당일거래량2.2조
LPT,Upbit,2025-05-30,옆상장,217000000,Binance,,13000000000,19000000000,7500000000,1.46,20,,smooth,cex_futures,,,Ethereum,,true,,,bear,망따리,세력운전후펌핑20% 입금130억 상장열기바닥 전일거래량2.5조
ALT,Upbit,2025-06-16,옆상장,93000000,Bybit,,18000000000,30000000000,15000000000,1.67,7,0,smooth,cex_futures,,,Ethereum,,true,,,bear,망따리,1분봉김프7%힘없이사망 현선갭14% 상장열기바닥 전일거래량1.2조
RAY,Upbit,2025-06-19,옆상장,555000000,Binance,,31000000000,16000000000,8000000000,0.52,0,0,smooth,cex_futures,,,Solana,,true,,,bear,망따리,김프형성안됨 상장화력바닥 업비트역대최저거래량 점심12시상장
FORT,Bithumb,2025-06-19,직상장,38000000,Gate,,2300000000,4200000000,2500000000,1.83,15,,smooth,none,,,Ethereum,,true,,,bear,흥따리,빗썸직상장 17시30분변경 30분81억 순입금이벤트
NEWT,Upbit,2025-06-24,TGE,108000000,Binance,,11000000000,25500000000,12000000000,2.32,0,0,smooth,cex_futures,,,Ethereum,,true,,,bear,망따리,바이낸스출금일찍열림선반영 현선갭16%고점31% PreFutures적용시작
NEWT,Bithumb,2025-06-24,TGE,108000000,Binance,,,,,,,,smooth,cex_futures,,,Ethereum,,true,,,bear,망따리,현선잡으면손해 순입금이벤트소액거래이벤트
SAHARA,Upbit,2025-06-26,TGE,286000000,Binance,,20000000000,38000000000,15500000000,1.9,5,,smooth,cex_futures,,,BSC/ETH,,true,,,bear,망따리,후펌핑5% 전일거래량2.1조 업빗빗썸시간변경신경전
SAHARA,Bithumb,2025-06-26,TGE,286000000,Binance,,,,,,,,smooth,cex_futures,,,BSC/ETH,,true,,,bear,망따리,현선잡으면손해 순입금이벤트소액거래이벤트
HYPER,Bithumb,2025-07-10,옆상장,27000000,Binance,,,,,,,,constrained,cex_futures,,,,,,,,neutral,보통,빗썸업빗같은코인옆상장최초사례
SYRUP,Upbit,2025-07-24,직상장,581000000,Binance,,45000000000,85500000000,32000000000,1.9,3,2,smooth,cex_futures,,,Ethereum,,true,,,neutral,보통,피뢰침김프3%급등 전일거래량11.6조 30분2010억
OMNI,Upbit,2025-07-29,옆상장,90000000,Binance,,23000000000,57500000000,23500000000,2.5,20,,constrained,cex_futures,,,Ethereum,,true,,,neutral,흥따리,피뢰침김프20%고점30초내 30분1400억 세력운전가능성
PROVE,Upbit,2025-08-05,TGE,166000000,Binance,,23500000000,38500000000,15500000000,1.64,0,,smooth,cex_futures,,,Ethereum,,true,,,bear,망따리,피뢰침이후역프 현선갭업비트공지+13% 전일거래량2.7조
PROVE,Bithumb,2025-08-05,TGE,166000000,Binance,,4600000000,4900000000,2100000000,1.07,0,,smooth,cex_futures,,,Ethereum,,true,,,bear,망따리,업비트유사결과 전일빗썸거래량1.4조 소액거래이벤트
CYBER,Upbit,2025-08-12,옆상장,86000000,Bybit,,26000000000,35000000000,13000000000,1.35,0,,constrained,cex_futures,,,Ethereum,,false,,,bear,망따리,암살물량많음 바이낸스이더핫월렛간헐열림 전일거래량4.7조
API3,Upbit,2025-08-19,옆상장,73000000,OKX,,16000000000,64000000000,15500000000,4.0,,,constrained,cex_futures,,,Ethereum,,false,,,bear,대흥따리,적은입금+공급제한=대흥따리 전일거래량4.4조 2000원에서2800원폭등
TREE,Upbit,2025-08-28,직상장,49000000,Binance,,27500000000,45000000000,21000000000,1.64,,,smooth,cex_futures,,,Ethereum,,true,,,bear,망따리,초저시총이나바낸물량무한 KBW저녁세션 전일거래량3.6조
HOLO,Upbit,2025-09-11,TGE,174000000,DEX,,7700000000,41500000000,15000000000,5.39,52,40,constrained,none,,,Solana,,false,,,neutral,대흥따리,에드물량적음클레임고장30분 솔라나입금지연20~30분 전일거래량3.7조
AVNT,Upbit,2025-09-15,직상장,161000000,Bybit,,18000000000,20000000000,8300000000,1.11,4,0,smooth,cex_futures,,,Base,,true,,,neutral,망따리,2초피뢰침이후MM운전 전일거래량3.5조 1분거래량100억미만
ZKC,Upbit,2025-09-15,TGE,312000000,DEX,,8200000000,61000000000,15500000000,7.44,33,,constrained,none,,,Ethereum,,false,,,neutral,대흥따리,에드물량거의없음 AVNT서지영향 전일거래량3.5조
ZKC,Bithumb,2025-09-15,TGE,312000000,DEX,,2000000000,9800000000,3100000000,4.9,140,,constrained,none,,,Ethereum,,false,,,neutral,대흥따리,입금20억미만2배이상펌핑 빗썸입금시스템지연40분이상
BARD,Upbit,2025-09-18,TGE,270000000,DEX,,,,,,,,constrained,dex_futures,,,Ethereum,,true,,,bear,망따리,DEX유동성적당에입금적당들어와서망따리
BARD,Bithumb,2025-09-18,TGE,270000000,DEX,,3000000000,5400000000,2400000000,1.8,,,constrained,dex_futures,,,Ethereum,,true,,,bear,보통,피뢰침고점2200원 DEX유동성550k(BSC)+100k(ETH)
XPL,Upbit,2025-09-25,TGE,1620000000,DEX,,33000000000,70000000000,33500000000,2.12,0,,smooth,dex_futures,,,EVM,,true,,,neutral,망따리,고시총EVM메인넷 DEX유동성풍부입금빠름 전일거래량4.3조 이후폭등
MIRA,Upbit,2025-09-26,TGE,248000000,DEX,,10000000000,74000000000,27000000000,7.4,200,,constrained,cex_futures,,,Base,,false,,,neutral,대흥따리,초대흥따리200%3배 에드클레임고장 XPL전일서지부스트 바낸출금104분후오픈
MIRA,Bithumb,2025-09-26,TGE,248000000,DEX,,2500000000,,,,,,constrained,cex_futures,,,Base,,false,,,neutral,흥따리,업비트보다약함 빗썸추적18:42
BIO,Bithumb,2025-10-24,DIRECT,,,,,,,,6,,constrained,cex_futures,,,,,,,,neutral,흥따리,"BIO
- 생따리, 현선 모두 꽤 먹여줌
- 빗썸 출금 장난질 본격적으로 시작
- 근래 상장 중 입금액이 상당히 적었던 따리 (흥따리 요인)
- 투심이 많이 죽은 상황이고 거래량도 안터져서 ""입금액""이라는 절대적인 기준이 중요해진듯
노션 복기
⤵
$BIO 상장 (Up)"
BTC,Upbit,2025-11-04,TGE,,,,2100000000,,,,,,,cex_futures,,,,,,,,neutral,대흥따리,"🔥
2025.11.04 모멘텀 상장·매매 요약
국내 상장
- 업비트: BTC, USDT 마켓만 상장 [
공지 18시 35분
] → 입금량 체크 못했어요.
- 빗썸: 원화 상장[
공지 19시 6분
] → 실제 입금액 약 21억 규모
HODLER 에어드랍 규모
- 이번 바낸 호들러 에어드랍 가치 약 40억 수준
- 앞으로 비슷한 신규 코인 상장 시에는
HODL"
MET,Upbit,2025-11-19,TGE,,,,,,,,6,,smooth,cex_futures,,,,,,,,bear,보통,"MET
거진 2주만의 원상이네요
메테오라가 그래도 TGE때 거래소 다 뚫을줄 알았는데 결국 한참 지나고서 상장하게됐네요
- 노잼따리긴 하지만, 하락장에 나름 인건비 챙겨준 따리였습니다
생따리치신분들은 전반적으로 4~6퍼정도 가져가고, 현선도 1퍼대에 잘잡았으면 4~5퍼대에 털 기회 많이 준 것 같습니다
- 업비트가 짜치게 MET2 티커로 상장해서 봇 작동안"
IRYS,Upbit,2025-12-07,TGE,,,,,,,,10,,smooth,cex_futures,,,,,,,,neutral,흥따리,"IRYS
근래 있었던 빗썸 흥따리 시리즈 중 하나입니다
- 현선보다는 생따리 잘 쌌으면 10퍼대 수익도 볼 수 있었습니다
개인적으로 PIEVERSE - XION - IRYS를 거치면서 업비트 해킹사태가 터진 해당 기간동안 빗썸 생따리에 더 적극적으로 베팅하게 된 계기가 되었던 따리였던 것 같네요
며칠 좀 바깥 싸돌아댕기느라 늦었네요
앞으로 남은 BOB, T"
"TRAC, BOB",Upbit,2025-12-09,SIDE,,,,,,,,6,,constrained,cex_futures,,,,,,,,neutral,흥따리,"BOB, TRAC
업비트 해킹기간동안 빗썸 흥따리 마지막 불꽃편입니다
지난 IRYS처럼 BOB랑 TRAC도 둘다 코베픽인 개잡코 상장이었습니다
- 앞선 PIEVERSE-XION-IRYS와 비슷하게 BOB-TRAC도 현선보다는 생따리가 best였습니다
BOB - 저시총 / TRAC - 헷징못함 등의 특징점도 꼽아볼 수 있겠습니다
최근에 따리웨옹고수인
피카님
"
WET,Upbit,2025-12-17,DIRECT,,,,,,,,8,,smooth,cex_futures,,,,,,,,neutral,흥따리,"WET
흥따리
- 근 2주 반만의 업비트 상장
- 빗썸 입금량 집계 중 신메타 시작
- 생따리(Best)
- dex에서 빨리 긁었으면 평단 아주 좋게 가져갈 수 있었음
- 현선도 괜찮은 수익
- dex 잘 긁었으면 역현선도 가능했음
- 선선
- 상장 이후 8퍼대갭까지 있었는데, 펀비타임 이후에 잡든 잘 잡아서 플레이했으면 3%대 가량 빨 수 있었음
- 빗썸"
DEXE,Bithumb,2025-12-20,DIRECT,,,,1500000000,,,,,,,cex_futures,,,,,,,,neutral,흥따리,"DEXE
노잼 따리
- 현선 0퍼대
- 상장공지 후 초반 생매수 / 생따리시 약이득
- 입금액 15~16억 가량
크게 첨언할 것도 없는 흔한 빗썸 개잡코 상장이었습니다
위에 적은 3줄 정도만 알고 넘어가시면 될 것 같습니다
이전 빗썸 흥따리 시기처럼 한번 흥따리가 터져주기전까지는 참여하지 않거나/사이즈를 줄여서 참여하고 있습니다
노션 복기
⤵
$DEXE 상"
YB,Bithumb,2025-12-26,DIRECT,,,,,500000000.0,,,30,,smooth,cex_futures,,,,,,,,neutral,흥따리,"YB
도움반 치곤 흥따리
- 생따리
- 거래 시작 후 (~1분) 거래량 5억 가량
- 초반에 매집했다면 괜찮은 수익
-
핵심)
빗썸 상장 감지 알림
- 상장 감지빔으로 빗썸에서 미친듯이 상승하기 시작
- 바이낸스과 단순 갭 30퍼대 후반까지 벌어짐
- 입금 완료까지 대략 10분 소요
- 후발주자(~15:01/02...) 물량까지 소화 후 마무리
도움반 상장"
ZKP,Upbit,2025-12-28,,,,,,,,,6,,smooth,cex_futures,,,,,,,,neutral,대흥따리,"ZKP
흥따리
- 생따리/후따리
- 초반 퍼포먼스: 빗썸 » 업비트
- 후반 퍼포먼스: 업비트 » 빗썸
- 업비트 후펌이 오랫동안 유지해줘서 타이밍 맞게 잘보냈으면 후따리 2바퀴도 먹었을듯
- 현선
- 빗썸 공지때 잡았으면 best
- 업비트 후펌으로 다시 튐
- 선선은 다소 독통이었음
오랜만에 대흥따리였네요
다만 후펌 후따리 먹겠다고 까불다가 다 타이밍을"
XAUT,Upbit,2026-01-03,SIDE,,,,,,,,0.3,,smooth,cex_futures,,,,,,,,neutral,망따리,"XAUT
2026 첫 상장
- 금몽현
- 굳이 안봤어도 무방
- 이것저것 다 떼고 잘 팔았으면 0.3퍼 정도 건졌을 듯
- 역프 좀 끼면 사볼까 대기했는데 별로 안 껴서 그냥 관망함
쓸 거리도 없어서 그냥 안쓰려다가 그래도 새해 첫 상장이니까 기록만 해뒀어요
이전 PAXG 생각도 나서 사실 기대 안했고 업비트로 밀고 들어간 물량 매도세로 역프 끼면 좀 주워"
BREV,Upbit,2026-01-08,TGE,,,,,,,,10,,constrained,cex_futures,,,,,,,,neutral,대흥따리,"BREV
대흥따리
- 생따리 (Best)
- 상장 공지 ~ 무호흡 상승
- 거래 시작 후 후펌도 강하게 줌
- 후따리는 불가
- 현선
- ~10퍼대 현선까지
- 빗썸 상장 공지 후, 업비트 입출막 완료 공지 이후 현선 다져졌을 때 잡았으면 best
- 바낸따리
- 역시 나쁘지 않았음
TGE 바낸 직상장, 코베 등 메이저 CEX를 다 뚫은 Brevis의 업빗"
