symbol,exchange,date,listing_type,deposit_krw,volume_5m_krw,turnover_ratio,max_premium_pct,supply_label,hedge_type,market_condition,result_label,result_notes
BIO,Bithumb,2025-10-24,,,,,,,cex_futures,neutral,흥따리,"BIO
- 생따리, 현선 모두 꽤 먹여줌
- 빗썸 출금 장난질 본격적으로 시작
- 근래 상장 중 입금액이 상당히 적었던 따리 (흥따리 요인)
- 투심이 많이 죽은 상황이고 거래량도 안터져서 ""입금액""이라는 절대적인 기준이 중요해진듯
노션 복기
⤵
$BIO 상장 (Up)"
CPOOL,Bithumb,2025-10-26,,,,,,,cex_futures,neutral,흥따리,"10.22 CPOOL 상장입니다
- 따리 자체는 망따리 or 겨우 본전치기 가능했습니다
솔라나쪽 가격반응이 느려서 해당 부분을 잘 캐치해서 기민하게 행동했다면 괜찮은 수익을 볼 수 있었습니다
개인적으로 근래 따리는 이런 크로스체인 먹거리/현선에 집중하고 있습니다
+) 빗썸 장난질도 여전했습니다
빗썸은 갭난다고 속지말고 꼭 헷징하거나 현선플레이만 하는걸 추천"
"BTC, ORDER, ARB",Bithumb,2025-10-27,,,,,,,cex_futures,neutral,흥따리,"ORDER
빗썸도 상장되어있었고, SUPER상장(09.29)에 btc마켓 상장햇었던 픽입니다
근래 펍덱 관련 코인들이 상장이 많이 되고 있어서 암살 심어놓으신 분들도 꽤 있었을 것 같네요
- 간만에 흥따리였습니다
후펌을 꽤 쎄게 줬는데, 옆상이기도 하고 근래 워낙 망따리 비율이 높았어서 후펌까지 버티긴 쉽지않았을 것 같네요
ORDER의 경우 체인이 워낙 많"
ENSO,Upbit,2025-10-30,,,,,,,cex_futures,neutral,흥따리,"ENSO
오랜만에 흥따리였네요
쎄게 후펌 주는것도 괜시리 오랜만에 보는것같아요
빗썸 상장 공지 뜨고 현선0퍼대라 긁으려고 했는데 말하던 사이 업비트 빔으로 현선 바로 6퍼대 찍는거 보고 기력 떨어져서 현선 못잡았네요...
요약 → 흥따리/강한후펌/현선0퍼에잡을걸
노션 복기
⤵
$ENSO 상장 (Up/Bit)"
BTC,Upbit,2025-11-04,TGE,,,,,,cex_futures,neutral,대흥따리,"🔥
2025.11.04 모멘텀 상장·매매 요약
국내 상장
- 업비트: BTC, USDT 마켓만 상장 [
공지 18시 35분
] → 입금량 체크 못했어요.
- 빗썸: 원화 상장[
공지 19시 6분
] → 실제 입금액 약 21억 규모
HODLER 에어드랍 규모
- 이번 바낸 호들러 에어드랍 가치 약 40억 수준
- 앞으로 비슷한 신규 코인 상장 시에는
HODL"
TRUST,Upbit,2025-11-10,,,,,,,cex_futures,neutral,흥따리,"TRUST
- 빗썸의 엔소 이후 대 흥 따 리
이번 trust 급으로 빗썸이 업비트 대비해 압도적으로 흥따리였던건 오랜만이네요..
맨날 빗썸 조롱했는데 보여줄땐 보여주네요
다음 빗썸 흥까지 쿨타임이 얼마나 걸릴지가 이제 제일 궁금하네요
- 후따리도 거진 무한으로 먹여줬습니다
- 초반에 빗썸 몇바퀴 먹여주고, 이후에 의문의 누군가가 국내 거래소(특히 업비트)"
MET,Upbit,2025-11-18,,,,,,,cex_futures,neutral,흥따리,"그냥 진짜 할거없어서 이런거나 하는중
$MET
binance long<>hyperliquid short
1%정도 price gap있었고
하리쪽 스프레드가 꽤 있어서
price gap(100bp)+funding gap(20bp)-스프레드(15*2bp)-수수료(10*2bp)=70bp
적당히 잡았으면 포지션 사이즈대비 50~70bp정도 나왔고(1bp=0.01%)"
MET,Upbit,2025-11-19,TGE,,,,,,cex_futures,bear,보통,"MET
거진 2주만의 원상이네요
메테오라가 그래도 TGE때 거래소 다 뚫을줄 알았는데 결국 한참 지나고서 상장하게됐네요
- 노잼따리긴 하지만, 하락장에 나름 인건비 챙겨준 따리였습니다
생따리치신분들은 전반적으로 4~6퍼정도 가져가고, 현선도 1퍼대에 잘잡았으면 4~5퍼대에 털 기회 많이 준 것 같습니다
- 업비트가 짜치게 MET2 티커로 상장해서 봇 작동안"
"ETH, PLUME",Upbit,2025-12-02,,,,,,,cex_futures,neutral,대흥따리,"PLUME
요즘 좀 게을러져서 천천히 올리고 있습니다..
업비트 입출막도 계속 보고있기도 했구요
간만에 옆상이었는데도 대흥따리였네요
여러가지로 수익볼 기회도 있었고 전반적으로 따리 공부할때 참조하면 좋을 거 같은 상장이었던 것 같아요 (거래소별 핫 모니터링, CEX간 브릿징 체킹 등등..)
- 옆상이라 기대감이 적었는데 Bybit 핫도 빨리 털리고, Bin"
IRYS,Upbit,2025-12-07,TGE,,,,,,cex_futures,neutral,흥따리,"IRYS
근래 있었던 빗썸 흥따리 시리즈 중 하나입니다
- 현선보다는 생따리 잘 쌌으면 10퍼대 수익도 볼 수 있었습니다
개인적으로 PIEVERSE - XION - IRYS를 거치면서 업비트 해킹사태가 터진 해당 기간동안 빗썸 생따리에 더 적극적으로 베팅하게 된 계기가 되었던 따리였던 것 같네요
며칠 좀 바깥 싸돌아댕기느라 늦었네요
앞으로 남은 BOB, T"
"TRAC, BOB",Upbit,2025-12-09,,,,,,,cex_futures,neutral,흥따리,"BOB, TRAC
업비트 해킹기간동안 빗썸 흥따리 마지막 불꽃편입니다
지난 IRYS처럼 BOB랑 TRAC도 둘다 코베픽인 개잡코 상장이었습니다
- 앞선 PIEVERSE-XION-IRYS와 비슷하게 BOB-TRAC도 현선보다는 생따리가 best였습니다
BOB - 저시총 / TRAC - 헷징못함 등의 특징점도 꼽아볼 수 있겠습니다
최근에 따리웨옹고수인
피카님
"
SAPIEN,Upbit,2025-12-10,,,,,,,cex_futures,neutral,흥따리,"SAPIEN
무난
- 상장공지빔 이후 눌리면서 박스권 형성했을 때 잘 담아서 생따했으면 best
- 현선은 펀비탐 이후 잘 잡아서 플레이했으면 2~3퍼대
개인적으로 PIEVERSE-XION-IRYS-BOB-TRAC의 과도한 빗썸 흥따리 기조를 온건하게 끝내준듯
계속 흥따리라 한번 2~30% 맞으면서 크게 부러지는거 감수하고  무지성 생따리를 계속갈겼는데, "
WET,Upbit,2025-12-17,,,,,,,cex_futures,neutral,흥따리,"WET
흥따리
- 근 2주 반만의 업비트 상장
- 빗썸 입금량 집계 중 신메타 시작
- 생따리(Best)
- dex에서 빨리 긁었으면 평단 아주 좋게 가져갈 수 있었음
- 현선도 괜찮은 수익
- dex 잘 긁었으면 역현선도 가능했음
- 선선
- 상장 이후 8퍼대갭까지 있었는데, 펀비타임 이후에 잡든 잘 잡아서 플레이했으면 3%대 가량 빨 수 있었음
- 빗썸"
DEXE,Bithumb,2025-12-20,,,,,,,cex_futures,neutral,흥따리,"DEXE
노잼 따리
- 현선 0퍼대
- 상장공지 후 초반 생매수 / 생따리시 약이득
- 입금액 15~16억 가량
크게 첨언할 것도 없는 흔한 빗썸 개잡코 상장이었습니다
위에 적은 3줄 정도만 알고 넘어가시면 될 것 같습니다
이전 빗썸 흥따리 시기처럼 한번 흥따리가 터져주기전까지는 참여하지 않거나/사이즈를 줄여서 참여하고 있습니다
노션 복기
⤵
$DEXE 상"
YB,Bithumb,2025-12-26,,,500000000.0,,,,cex_futures,neutral,흥따리,"YB
도움반 치곤 흥따리
- 생따리
- 거래 시작 후 (~1분) 거래량 5억 가량
- 초반에 매집했다면 괜찮은 수익
-
핵심)
빗썸 상장 감지 알림
- 상장 감지빔으로 빗썸에서 미친듯이 상승하기 시작
- 바이낸스과 단순 갭 30퍼대 후반까지 벌어짐
- 입금 완료까지 대략 10분 소요
- 후발주자(~15:01/02...) 물량까지 소화 후 마무리
도움반 상장"
ZKP,Upbit,2025-12-28,,,,,,,cex_futures,neutral,대흥따리,"ZKP
흥따리
- 생따리/후따리
- 초반 퍼포먼스: 빗썸 » 업비트
- 후반 퍼포먼스: 업비트 » 빗썸
- 업비트 후펌이 오랫동안 유지해줘서 타이밍 맞게 잘보냈으면 후따리 2바퀴도 먹었을듯
- 현선
- 빗썸 공지때 잡았으면 best
- 업비트 후펌으로 다시 튐
- 선선은 다소 독통이었음
오랜만에 대흥따리였네요
다만 후펌 후따리 먹겠다고 까불다가 다 타이밍을"
XAUT,Upbit,2026-01-03,,,,,,,cex_futures,neutral,망따리,"XAUT
2026 첫 상장
- 금몽현
- 굳이 안봤어도 무방
- 이것저것 다 떼고 잘 팔았으면 0.3퍼 정도 건졌을 듯
- 역프 좀 끼면 사볼까 대기했는데 별로 안 껴서 그냥 관망함
쓸 거리도 없어서 그냥 안쓰려다가 그래도 새해 첫 상장이니까 기록만 해뒀어요
이전 PAXG 생각도 나서 사실 기대 안했고 업비트로 밀고 들어간 물량 매도세로 역프 끼면 좀 주워"
BREV,Upbit,2026-01-08,TGE,,,,,,cex_futures,neutral,대흥따리,"BREV
대흥따리
- 생따리 (Best)
- 상장 공지 ~ 무호흡 상승
- 거래 시작 후 후펌도 강하게 줌
- 후따리는 불가
- 현선
- ~10퍼대 현선까지
- 빗썸 상장 공지 후, 업비트 입출막 완료 공지 이후 현선 다져졌을 때 잡았으면 best
- 바낸따리
- 역시 나쁘지 않았음
TGE 바낸 직상장, 코베 등 메이저 CEX를 다 뚫은 Brevis의 업빗"
ELSA,Upbit,2026-01-24,,,,,,,cex_futures,neutral,망따리,"ELSA
망따리(for me)
- 생따리
- 당시 헷징 가능한 거래소(멕빙쿠+아스터)가 특수반 거래소만 존재 + 현선 등으로 잡기 힘들었음
- 저시총/개잡코/업비트에 들어올만한 물량 등등 고려해 저시총 crime 기대하고 공지 직후 바로 탑승 (손실)
- 팀 매도 물량 이후 상장 직전에 샀으면 이득
- 후따리
- 상장 후 갭 자체는 컸고, 바낸/바빗 선물도"
